modality,label,url,email_subject,email_body,source_name,domain,_sig,built_at_utc,url_canon,_gk,text,_group_key,_strata,score,pred
url,ham,http://www.screwfix.ie/,,,umbrella_top1m,screwfix.ie,faaf30d1d6607920481390c0b639f3bc83b55418,2025-11-05T09:45:22+00:00,http://www.screwfix.ie/,url:screwfix.ie,http://www.screwfix.ie/,url:screwfix.ie,url,0.37542043369152334,1
url,ham,http://gtfcu-connect.interface.ai/,,,umbrella_top1m,interface.ai,184ec87e3779fcb5168d4941a4102161b20118ea,2025-11-05T09:45:22+00:00,http://gtfcu-connect.interface.ai/,url:interface.ai,http://gtfcu-connect.interface.ai/,url:interface.ai,url,0.0003617276417638191,1
url,ham,http://phys.org/,,,umbrella_top1m,phys.org,779da8b28c51b51fa4cfd6e6018f82d7c98648ce,2025-11-05T09:45:22+00:00,http://phys.org/,url:phys.org,http://phys.org/,url:phys.org,url,0.00406134512038856,1
url,ham,http://results.foundationlaboratory.com/,,,umbrella_top1m,foundationlaboratory.com,fde420be0ec3fb89ef955adfdf7b478dad5b3fae,2025-11-05T09:45:22+00:00,http://results.foundationlaboratory.com/,url:foundationlaboratory.com,http://results.foundationlaboratory.com/,url:foundationlaboratory.com,url,0.0005206425263688051,1
url,ham,http://downloads.siemens.cloud/,,,umbrella_top1m,siemens.cloud,4bae313e188755f36a355292d9655ca973980536,2025-11-05T09:45:22+00:00,http://downloads.siemens.cloud/,url:siemens.cloud,http://downloads.siemens.cloud/,url:siemens.cloud,url,0.015623015025470493,1
url,ham,http://chessroyale.app/,,,umbrella_top1m,chessroyale.app,837e90787a4ee143c74881ee8f1bbe89d4fb212e,2025-11-05T09:45:22+00:00,http://chessroyale.app/,url:chessroyale.app,http://chessroyale.app/,url:chessroyale.app,url,0.0001235355385699345,1
url,ham,http://www.palottery.state.pa.us/,,,umbrella_top1m,state.pa.us,7eb79860b21d6be774a39dbfca868614bd85b585,2025-11-05T09:45:22+00:00,http://www.palottery.state.pa.us/,url:state.pa.us,http://www.palottery.state.pa.us/,url:state.pa.us,url,3.324308199923631e-05,1
url,ham,http://xn--80anc0ajbxbc.xn--p1ai/,,,majestic_million,xn--80anc0ajbxbc.xn--p1ai,b33a9b5053e070fe3023d934632dc89b5a9c6324,2025-11-05T09:45:22+00:00,http://xn--80anc0ajbxbc.xn--p1ai/,url:xn--80anc0ajbxbc.xn--p1ai,http://xn--80anc0ajbxbc.xn--p1ai/,url:xn--80anc0ajbxbc.xn--p1ai,url,4.303065213680447e-05,1
url,ham,http://cnshe06-vpn.cn/,,,umbrella_top1m,cnshe06-vpn.cn,ad2bfee4433b915890a35880aa9aeb37923862f5,2025-11-05T09:45:22+00:00,http://cnshe06-vpn.cn/,url:cnshe06-vpn.cn,http://cnshe06-vpn.cn/,url:cnshe06-vpn.cn,url,0.0012104715406981022,1
url,ham,http://www.wiki.rendhark-universe.net/,,,umbrella_top1m,rendhark-universe.net,95e5bcbb200dcb7d4606316cfec6303bf6c1bc3c,2025-11-05T09:45:22+00:00,http://www.wiki.rendhark-universe.net/,url:rendhark-universe.net,http://www.wiki.rendhark-universe.net/,url:rendhark-universe.net,url,0.00016700608743611448,1
url,ham,http://douche-concurrent.nl/,,,majestic_million,douche-concurrent.nl,c0521fef6459506820eac4fa308972fb75effdbb,2025-11-05T09:45:22+00:00,http://douche-concurrent.nl/,url:douche-concurrent.nl,http://douche-concurrent.nl/,url:douche-concurrent.nl,url,5.813471069070614e-05,1
url,ham,https://douche-concurrent.nl/vsojo/hweofm/fpfb,,,synth_ham,douche-concurrent.nl,5303b498946c201ec33fb123d01eee129a71e8e9,,https://douche-concurrent.nl/vsojo/hweofm/fpfb,url:douche-concurrent.nl,https://douche-concurrent.nl/vsojo/hweofm/fpfb,url:douche-concurrent.nl,url,0.0011774234165500693,1
url,ham,https://vulkanvegas-lv.click/iglum/pieits/twej,,,synth_ham,vulkanvegas-lv.click,abd21535741c31ba5bd75e59f1052e8a7f2f816f,,https://vulkanvegas-lv.click/iglum/pieits/twej,url:vulkanvegas-lv.click,https://vulkanvegas-lv.click/iglum/pieits/twej,url:vulkanvegas-lv.click,url,0.00012758765977645504,1
url,ham,https://illegal-logging.info/ivrsp/lrknmp,,,synth_ham,illegal-logging.info,1f5c156c9d15922a49564eb258e43e7e94919258,,https://illegal-logging.info/ivrsp/lrknmp,url:illegal-logging.info,https://illegal-logging.info/ivrsp/lrknmp,url:illegal-logging.info,url,3.177476573816493e-05,1
url,ham,https://andersen.com/istaa/carnrg,,,synth_ham,andersen.com,329bf3ec57edd3ad3be6d35af07507001df2edb0,,https://andersen.com/istaa/carnrg,url:andersen.com,https://andersen.com/istaa/carnrg,url:andersen.com,url,3.372488984709241e-05,1
url,ham,https://sad-i-dom.com/jturg/bwfnmm,,,synth_ham,sad-i-dom.com,9756a7e284dde103d4bfed47348455676b509df6,,https://sad-i-dom.com/jturg/bwfnmm,url:sad-i-dom.com,https://sad-i-dom.com/jturg/bwfnmm,url:sad-i-dom.com,url,6.304927590240105e-05,1
url,ham,https://linked.bg/mkrfq/ylcocz,,,synth_ham,linked.bg,76c71fc45076c0edccd16ea16681b4f34e092788,,https://linked.bg/mkrfq/ylcocz,url:linked.bg,https://linked.bg/mkrfq/ylcocz,url:linked.bg,url,0.0003086698955849569,1
url,ham,https://linked.bg/kheyk/mqeohc,,,synth_ham,linked.bg,578e03d038534140394ba6c68134be44e236ccb2,,https://linked.bg/kheyk/mqeohc,url:linked.bg,https://linked.bg/kheyk/mqeohc,url:linked.bg,url,0.00011605305267294276,1
url,ham,https://1-language.com/sfnoe/rxeaab/sgyz,,,synth_ham,1-language.com,e70c13fa9cd13db33bc0fec2927ddab8e3b303e0,,https://1-language.com/sfnoe/rxeaab/sgyz,url:1-language.com,https://1-language.com/sfnoe/rxeaab/sgyz,url:1-language.com,url,9.77017248861996e-05,1
url,ham,https://hosted-by-discourse.com/ikoal/ocxgum,,,synth_ham,hosted-by-discourse.com,a4200a67807f952b6b437e12db409b9513813245,,https://hosted-by-discourse.com/ikoal/ocxgum,url:hosted-by-discourse.com,https://hosted-by-discourse.com/ikoal/ocxgum,url:hosted-by-discourse.com,url,4.5721675863799685e-05,1
url,ham,https://saudi-arabia-evisa.com/avibb/gqzqhb,,,synth_ham,saudi-arabia-evisa.com,56da893f59e23ceeb9d507308050e048317ac832,,https://saudi-arabia-evisa.com/avibb/gqzqhb,url:saudi-arabia-evisa.com,https://saudi-arabia-evisa.com/avibb/gqzqhb,url:saudi-arabia-evisa.com,url,0.00015951519308570307,1
url,ham,https://saudi-arabia-evisa.com/zdmae/kamygc,,,synth_ham,saudi-arabia-evisa.com,7346b23f3a3ca86b5fe5f443e3832897c8679f70,,https://saudi-arabia-evisa.com/zdmae/kamygc,url:saudi-arabia-evisa.com,https://saudi-arabia-evisa.com/zdmae/kamygc,url:saudi-arabia-evisa.com,url,6.654422751030352e-05,1
url,ham,https://find-your-horse.fr/pobhq/sjogmv/avys,,,synth_ham,find-your-horse.fr,ff68179fa6ed597fed48392fbfb163ea569b72a7,,https://find-your-horse.fr/pobhq/sjogmv/avys,url:find-your-horse.fr,https://find-your-horse.fr/pobhq/sjogmv/avys,url:find-your-horse.fr,url,0.0005306466500612316,1
url,ham,https://franks-travelbox.com/soztr/amlwth,,,synth_ham,franks-travelbox.com,2101007a8060bc07a28f8f567b9e8c2cf56e519d,,https://franks-travelbox.com/soztr/amlwth,url:franks-travelbox.com,https://franks-travelbox.com/soztr/amlwth,url:franks-travelbox.com,url,0.00019907702573060198,1
url,ham,https://delta.com/chrqp/lbvlxv/brcj,,,synth_ham,delta.com,f012fdc8a12df5048fd1f05e9073f2398c46be82,,https://delta.com/chrqp/lbvlxv/brcj,url:delta.com,https://delta.com/chrqp/lbvlxv/brcj,url:delta.com,url,0.00012786892100416947,1
url,ham,https://duty-free-japan.jp/alopz/bpteyh,,,synth_ham,duty-free-japan.jp,8cd1c563094c5192e7abda0459e80a9b3ee5a3cf,,https://duty-free-japan.jp/alopz/bpteyh,url:duty-free-japan.jp,https://duty-free-japan.jp/alopz/bpteyh,url:duty-free-japan.jp,url,3.40536104317482e-05,1
url,ham,https://chessroyale.app/tkgdn/thzcxw,,,synth_ham,chessroyale.app,365c3f9d9cd3d94cd3023c047f81d30adc280c1a,,https://chessroyale.app/tkgdn/thzcxw,url:chessroyale.app,https://chessroyale.app/tkgdn/thzcxw,url:chessroyale.app,url,3.377999003510971e-05,1
url,ham,https://mail.com/boxos/itdeyl,,,synth_ham,mail.com,19f0b35c1636d1ceeeb419237acc292b53ebcc05,,https://mail.com/boxos/itdeyl,url:mail.com,https://mail.com/boxos/itdeyl,url:mail.com,url,5.235530559569002e-05,1
url,ham,https://www-y2mate.com/dostz/bgwxyr/vjgp?q=tpxudt,,,synth_ham,www-y2mate.com,ad643d977f8dc6deca07c63dd94840eafbf7e60b,,https://www-y2mate.com/dostz/bgwxyr/vjgp?q=tpxudt,url:www-y2mate.com,https://www-y2mate.com/dostz/bgwxyr/vjgp?q=tpxudt,url:www-y2mate.com,url,0.0014491496481389347,1
url,ham,https://douche-concurrent.nl/pttjc/ijicjq/hjab,,,synth_ham,douche-concurrent.nl,2bc8d7eda7bc0a73a2e8bdc1cec1f0d9681234d7,,https://douche-concurrent.nl/pttjc/ijicjq/hjab,url:douche-concurrent.nl,https://douche-concurrent.nl/pttjc/ijicjq/hjab,url:douche-concurrent.nl,url,0.00048820082669138684,1
url,ham,https://douche-concurrent.nl/wdqbf/mlftxw,,,synth_ham,douche-concurrent.nl,e35de218212a74b58bd8fd6d9d1a2d3a0025e865,,https://douche-concurrent.nl/wdqbf/mlftxw,url:douche-concurrent.nl,https://douche-concurrent.nl/wdqbf/mlftxw,url:douche-concurrent.nl,url,0.00048820082669138684,1
url,ham,https://gali-result.in/paebb/pnhupw,,,synth_ham,gali-result.in,2d7430b4740041ccaac9a637dda0d04d09085519,,https://gali-result.in/paebb/pnhupw,url:gali-result.in,https://gali-result.in/paebb/pnhupw,url:gali-result.in,url,9.993249293492539e-05,1
url,ham,https://american-software.com/vwkpa/fdxirt,,,synth_ham,american-software.com,8fe8cd58ecad6edb549e9892981625e5551d6594,,https://american-software.com/vwkpa/fdxirt,url:american-software.com,https://american-software.com/vwkpa/fdxirt,url:american-software.com,url,4.666126901582571e-05,1
url,ham,https://douche-concurrent.nl/peyqe/jewzcm,,,synth_ham,douche-concurrent.nl,5df7639b59e64cbd2a02f4b3346c256b3b846ff9,,https://douche-concurrent.nl/peyqe/jewzcm,url:douche-concurrent.nl,https://douche-concurrent.nl/peyqe/jewzcm,url:douche-concurrent.nl,url,0.0054076133002440045,1
url,ham,https://taya365-download-app.com/ywena/zzalqb/hdhv,,,synth_ham,taya365-download-app.com,85b104c684714e124dc59c3bbdab160149e60db1,,https://taya365-download-app.com/ywena/zzalqb/hdhv,url:taya365-download-app.com,https://taya365-download-app.com/ywena/zzalqb/hdhv,url:taya365-download-app.com,url,0.023698733896471005,1
url,ham,https://eurovent-certification.com/coite/ielkhm,,,synth_ham,eurovent-certification.com,33af6518ebdc862ba7ded63e5f62745f6e7de5d7,,https://eurovent-certification.com/coite/ielkhm,url:eurovent-certification.com,https://eurovent-certification.com/coite/ielkhm,url:eurovent-certification.com,url,4.839303236374403e-05,1
url,ham,https://hs-service-engage.com/ebzop/kahabd/tzzz,,,synth_ham,hs-service-engage.com,74f996fb35f056f3ec9d6eaba6b5d16da67a27c4,,https://hs-service-engage.com/ebzop/kahabd/tzzz,url:hs-service-engage.com,https://hs-service-engage.com/ebzop/kahabd/tzzz,url:hs-service-engage.com,url,0.00026757499443731426,1
url,ham,https://sad-i-dom.com/xjsan/vrayhi/amau,,,synth_ham,sad-i-dom.com,433d5af2d03d2aaa3eecd063616b018407a04835,,https://sad-i-dom.com/xjsan/vrayhi/amau,url:sad-i-dom.com,https://sad-i-dom.com/xjsan/vrayhi/amau,url:sad-i-dom.com,url,0.0009689803540438736,1
url,ham,http://phoenixlabs.org/,,,majestic_million,phoenixlabs.org,91d661d578e5aa6d1359883c414872f391985789,2025-11-05T09:45:22+00:00,http://phoenixlabs.org/,url:phoenixlabs.org,http://phoenixlabs.org/,url:phoenixlabs.org,url,4.732800362128486e-05,1
url,ham,http://web-hosting-top.com/,,,majestic_million,web-hosting-top.com,ac0785dd1f001f75a50a3a49fc24b8b9a0cf214f,2025-11-05T09:45:22+00:00,http://web-hosting-top.com/,url:web-hosting-top.com,http://web-hosting-top.com/,url:web-hosting-top.com,url,6.580845399822538e-05,1
url,ham,http://arabbank.jo/,,,majestic_million,arabbank.jo,7383ce3d95ff2efd0ee9abc1b3b93bb9d6cfb4a7,2025-11-05T09:45:22+00:00,http://arabbank.jo/,url:arabbank.jo,http://arabbank.jo/,url:arabbank.jo,url,0.8649611943284076,1
url,ham,https://arabbank.jo/enojt/llbbuw,,,synth_ham,arabbank.jo,82c17528e1f925f4bad539ffcab7302fd8bac852,,https://arabbank.jo/enojt/llbbuw,url:arabbank.jo,https://arabbank.jo/enojt/llbbuw,url:arabbank.jo,url,0.0013109585177656302,1
url,ham,https://always.shop/sdupi/solror,,,synth_ham,always.shop,9cd50e09cb96871a8fea86b1344f8e803d18ef5e,,https://always.shop/sdupi/solror,url:always.shop,https://always.shop/sdupi/solror,url:always.shop,url,0.001354950726143578,1
url,ham,https://net-liens.com/lkbyn/pcebbk,,,synth_ham,net-liens.com,597aef2d858bf0826a217f8ca804958ad8305644,,https://net-liens.com/lkbyn/pcebbk,url:net-liens.com,https://net-liens.com/lkbyn/pcebbk,url:net-liens.com,url,5.255006776058635e-05,1
